"Year","Month","Day","Hour","Minute","DNI"
2000,1,1,0,30,0
2000,1,1,1,30,0
2000,1,1,2,30,0
2000,1,1,3,30,0
2000,1,1,4,30,0
2000,1,1,5,30,0
2000,1,1,6,30,0
2000,1,1,7,30,0
2000,1,1,8,30,0
2000,1,1,9,30,63
2000,1,1,10,30,607
2000,1,1,11,30,663
2000,1,1,12,30,691
2000,1,1,13,30,679
2000,1,1,14,30,612
2000,1,1,15,30,448
2000,1,1,16,30,0
2000,1,1,17,30,0
2000,1,1,18,30,0
2000,1,1,19,30,0
2000,1,1,20,30,0
2000,1,1,21,30,0
2000,1,1,22,30,0
2000,1,1,23,30,0
2000,1,2,0,30,0
2000,1,2,1,30,0
2000,1,2,2,30,0
2000,1,2,3,30,0
2000,1,2,4,30,0
2000,1,2,5,30,0
2000,1,2,6,30,0
2000,1,2,7,30,0
2000,1,2,8,30,0
2000,1,2,9,30,73
2000,1,2,10,30,182
2000,1,2,11,30,457
2000,1,2,12,30,430
2000,1,2,13,30,288
2000,1,2,14,30,66
2000,1,2,15,30,222
2000,1,2,16,30,0
2000,1,2,17,30,0
2000,1,2,18,30,0
2000,1,2,19,30,0
2000,1,2,20,30,0
2000,1,2,21,30,0
2000,1,2,22,30,0
2000,1,2,23,30,0
2000,1,3,0,30,0
2000,1,3,1,30,0
2000,1,3,2,30,0
2000,1,3,3,30,0
2000,1,3,4,30,0
2000,1,3,5,30,0
2000,1,3,6,30,0
2000,1,3,7,30,0
2000,1,3,8,30,0
2000,1,3,9,30,0
2000,1,3,10,30,38
2000,1,3,11,30,118
2000,1,3,12,30,203
2000,1,3,13,30,244
2000,1,3,14,30,136
2000,1,3,15,30,24
2000,1,3,16,30,0
2000,1,3,17,30,0
2000,1,3,18,30,0
2000,1,3,19,30,0
2000,1,3,20,30,0
2000,1,3,21,30,0
2000,1,3,22,30,0
2000,1,3,23,30,0
2000,1,4,0,30,0
2000,1,4,1,30,0
2000,1,4,2,30,0
2000,1,4,3,30,0
2000,1,4,4,30,0
2000,1,4,5,30,0
2000,1,4,6,30,0
2000,1,4,7,30,0
2000,1,4,8,30,0
2000,1,4,9,30,0
2000,1,4,10,30,0
2000,1,4,11,30,0
